artist,track,album,track_id
Portugal. The Man,Tidal Wave,Woodstock,384TqRlwlMfeUAODhXfF3O
Portugal. The Man,Feel It Still,Woodstock,6QgjcU0zLnzq5OrUoSZ3OK
Tyla,Water,Water,5aIVCx5tnk0ntmdiinnYvw
Harry Styles,Watermelon Sugar,Fine Line,6UelLqGlWMcVH1E5c4H7lY
Rick Astley,Never Gonna Give You Up,Whenever You Need Somebody,4PTG3Z6ehGkBFwjybzWkR8
Harry Styles,Adore You,Fine Line,3jjujdWJ72nww5eGnfs2E7
"Marshmello, Bastille",Happier,Happier,7BqHUALzNBTanL6OvsqmC1
Black Strobe,Boogie in Zero Gravity,Godforsaken Roads,2mFRYk9KEriZatDFlfaJlZ
Wham!,Wake Me Up Before You Go-Go,Make It Big,0ikz6tENMONtK6qGkOrU3c
Twenty One Pilots,Ride,Blurryface,2Z8WuEywRWYTKe1NybPQEW
Dua Lipa,Don't Start Now,Future Nostalgia,3PfIrDoz19wz7qK7tYeu62
Dua Lipa,Physical,Future Nostalgia,3AzjcOeAmA57TIOr9zF1ZW
"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2Foc5Q5nqNiosCNqttzHof
Post Malone,Circles,Hollywood's Bleeding,21jGcNKet2qwijlDFuPiPb
Foster The People,Pumped Up Kicks,Torches,7w87IxuO7BDcJ3YUqCyMTT
"Khalid, Disclosure",Talk (feat. Disclosure),Free Spirit,6TqXcAFInzjp0bODyvrWEq
Vanilla Ice,Ice Ice Baby,Vanilla Ice Is Back! - Hip Hop Classics,3XVozq1aeqsJwpXrEZrDJ9
Adele,Hello,25,1Yk0cQdMLx5RzzFTYwmuld
Ariana Grande,"thank u, next","thank u, next",3e9HZxeyfWwjeyPAMmWSSQ
Michael Jackson,Beat It,Thriller,3BovdzfaX4jb5KFQwoPfAw
Ariana Grande,7 rings,"thank u, next",6ocbgoVGwYJhOv1GgI9NsF
MC Hammer,U Can't Touch This,Please Hammer Don't Hurt 'Em,1B75hgRqe7A4fwee3g3Wmu
Ariana Grande,God is a woman,Sweetener,5OCJzvD7sykQEKHH7qAC3C
"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito - Remix,VIDA,1vnnXMrBeEWiRg3YCMCjQq
"Taylor Swift, Kendrick Lamar",Bad Blood,Bad Blood,6xsEAm6w9oMQYYg3jkEkMT
Doja Cat,Say So,Hot Pink,3Dv1eDb0MEgF93GpLXlucZ
Lizzo,About Damn Time,About Damn Time,1PckUlxKqWQs3RlWXVBLw3
Lizzo,Truth Hurts,Cuz I Love You (Super Deluxe),3HWzoMvoF3TQfYg4UPszDq
Lizzo,Good as Hell,Cuz I Love You (Super Deluxe),6KgBpzTuTRPebChN0VTyzV
Taron Egerton,I'm Still Standing - From  Sing  Original Motion Picture Soundtrack,Sing (Original Motion Picture Soundtrack / Deluxe),0mb7btREdC3wuIUmuVRgWn
TOTO,Africa,Toto IV,2374M0fQpWi3dLnB54qaLX
thủy,girls like me don't cry,girls like me don't cry,2DtUUBwYwEzKMTMDrc5EiO
